hgnc_symbol	ensembl_gene_id	entrez_gene_id
PER2	ENSG00000132326	8864
NID2	ENSG00000087303	22795
DNM1P46	ENSG00000182397	196968
GEMIN4	ENSG00000179409	50628
PM20D2	ENSG00000146281	135293
SMOX	ENSG00000088826	54498
PAWR	ENSG00000177425	5074
EXPH5	ENSG00000110723	23086
GPR137	ENSG00000173264	56834
IL1R1	ENSG00000115594	3554
FZD1	ENSG00000157240	8321
NTN1	ENSG00000065320	9423
CASP1	ENSG00000137752	834
ENPP5	ENSG00000112796	59084
PI16	ENSG00000164530	221476
SDK1	ENSG00000146555	221935
FRAS1	ENSG00000138759	80144
TOR1B	ENSG00000136816	27348
LRP1B	ENSG00000168702	53353
SBF2-AS1	ENSG00000246273	283104
FHDC1	ENSG00000137460	85462
NFASC	ENSG00000163531	23114
TRAF4	ENSG00000076604	9618
MXRA7	ENSG00000182534	439921
TPBG	ENSG00000146242	7162
TPBG	ENSG00000283085	7162
TNC	ENSG00000041982	3371
EPOR	ENSG00000187266	2057
MFAP2	ENSG00000117122	4237
TFAP2A	ENSG00000137203	7020
SERPINE2	ENSG00000135919	5270
GBP3	ENSG00000117226	2635
IL13RA1	ENSG00000131724	3597
FDXR	ENSG00000161513	2232
NAA16	ENSG00000172766	79612
PRSS3	ENSG00000010438	5646
CCDC69	ENSG00000198624	26112
SPATS2L	ENSG00000196141	26010
ABCA1	ENSG00000165029	19
ARHGEF3	ENSG00000163947	50650
FOXC2	ENSG00000176692	2303
PIM3	ENSG00000198355	415116
TLR2	ENSG00000137462	7097
NDRG4	ENSG00000103034	65009
SHMT2	ENSG00000182199	6472
AVPI1	ENSG00000119986	60370
HAUS7	ENSG00000213397	55559
LOC728730	NA	NA
ARID5A	ENSG00000196843	10865
SH3BP5-AS1	ENSG00000224660	100505696
HACL1	ENSG00000131373	26061
BAZ2B	ENSG00000123636	29994
PHACTR1	ENSG00000112137	221692
NYAP1	ENSG00000166924	222950
IL11	ENSG00000095752	3589
KCNG1	ENSG00000026559	3755
MTMR1	ENSG00000063601	8776
LINC00565	ENSG00000260910	NA
S1PR3	ENSG00000213694	1903
GUCY1B3	NA	NA
MAPK13	ENSG00000156711	5603
DGAT2	ENSG00000062282	84649
KIAA1211	NA	NA
LMO4	ENSG00000143013	8543
EFNB3	ENSG00000108947	1949
CADM3	ENSG00000162706	57863
SIX4	ENSG00000100625	51804
COL17A1	ENSG00000065618	1308
MBL1P	ENSG00000242600	8512
H1F0	NA	NA
SH3BGRL3	ENSG00000142669	83442
IRS1	ENSG00000169047	3667
KCCAT198	NA	NA
TEAD2	ENSG00000074219	8463
PABPC4L	ENSG00000254535	132430
PKIA	ENSG00000171033	5569
C9orf47	NA	NA
FIBCD1	ENSG00000130720	84929
CCPG1	ENSG00000260916	9236
ZMAT1	ENSG00000166432	84460
IFFO1	ENSG00000010295	25900
LTK	ENSG00000062524	4058
PSD3	ENSG00000156011	23362
PALMD	ENSG00000099260	54873
LARGE	NA	NA
PTGIR	ENSG00000160013	5739
DHRS3	ENSG00000162496	9249
RARRES1	ENSG00000118849	5918
TSC22D2	ENSG00000196428	9819
TMEM39B	ENSG00000121775	55116
MSX2	ENSG00000120149	4488
WNT16	ENSG00000002745	51384
FHOD1	ENSG00000135723	29109
FAM225A	ENSG00000231528	286333
ISOC2	ENSG00000063241	79763
NUDT21	ENSG00000167005	11051
MIEN1	ENSG00000141741	84299
SPSB2	ENSG00000111671	84727
N4BP2	ENSG00000078177	55728
B4GALT6	ENSG00000118276	9331
DDX51	ENSG00000185163	317781
DDX51	ENSG00000288503	317781
NCAPH	ENSG00000121152	23397
PTCSC3	ENSG00000259104	NA
RSPO3	ENSG00000146374	84870
RFX5	ENSG00000143390	5993
COPRS	ENSG00000172301	55352
ACSS1	ENSG00000154930	84532
ST3GAL5	ENSG00000115525	8869
TNFAIP2	ENSG00000185215	7127
FENDRR	ENSG00000268388	400550
TP53	ENSG00000141510	7157
TRIP13	ENSG00000071539	9319
TBC1D1	ENSG00000065882	23216
SPATA18	ENSG00000163071	132671
NABP1	ENSG00000173559	64859
C20orf197	ENSG00000176659	284756
SAMD9	ENSG00000205413	54809
DUSP16	ENSG00000111266	80824
DUSP16	ENSG00000280962	80824
FAM180A	ENSG00000189320	389558
PTPRF	ENSG00000142949	5792
SMYD3	ENSG00000185420	64754
LINC00963	ENSG00000204054	NA
ABHD5	ENSG00000011198	51099
PLEKHA5	ENSG00000052126	54477
REEP3	ENSG00000165476	221035
MRC2	ENSG00000011028	9902
CATSPER1	ENSG00000175294	117144
GDF11	ENSG00000135414	10220
PYGO1	ENSG00000171016	26108
CYP26B1	ENSG00000003137	56603
PPFIBP1	ENSG00000110841	8496
ZNF185	ENSG00000147394	7739
ZIC2	ENSG00000043355	7546
AMPD3	ENSG00000133805	272
C5AR2	ENSG00000134830	27202
C1orf110	NA	NA
THBS2	ENSG00000186340	7058
CDC7	ENSG00000097046	8317
ULBP1	ENSG00000111981	80329
TNFRSF10C	ENSG00000173535	8794
VAT1L	ENSG00000171724	57687
NT5C3A	ENSG00000122643	51251
CADPS2	ENSG00000081803	93664
FAM118A	ENSG00000100376	55007
FLJ10038	NA	NA
ZNF671	ENSG00000083814	79891
PADI2	ENSG00000117115	11240
ARL8A	ENSG00000143862	127829
KIRREL	NA	NA
CAMK2D	ENSG00000145349	817
NEFM	ENSG00000104722	4741
TRIM55	ENSG00000147573	84675
ST8SIA4	ENSG00000113532	7903
SALL2	ENSG00000165821	6297
GJA3	ENSG00000121743	2700
MCOLN2	ENSG00000153898	255231
NDUFB1	ENSG00000183648	4707
PCCB	ENSG00000114054	5096
LDHD	ENSG00000166816	197257
GSDMD	ENSG00000104518	79792
GSDMD	ENSG00000278718	79792
TSHZ1	ENSG00000179981	10194
HRAT17	NA	NA
ITGA3	ENSG00000005884	3675
AMOTL2	ENSG00000114019	51421
CHST15	ENSG00000182022	51363
TFAP4	ENSG00000090447	7023
LOC100126784	NA	NA
NFIA	ENSG00000162599	4774
RAB6B	ENSG00000154917	51560
DDX3Y	ENSG00000067048	8653
PLEKHA7	ENSG00000166689	144100
ADCY3	ENSG00000138031	109
KCCAT211	NA	NA
FUT8	ENSG00000033170	2530
PRR5	ENSG00000186654	55615
FOXP2	ENSG00000128573	93986
C9orf3	NA	NA
MGC57346	NA	NA
CCDC167	ENSG00000198937	154467
F11R	ENSG00000158769	50848
MAFB	ENSG00000204103	9935
TSPAN8	ENSG00000127324	7103
CCDC14	ENSG00000175455	64770
ST5	NA	NA
SH3D21	ENSG00000214193	79729
SOX4	ENSG00000124766	6659
POLD3	ENSG00000077514	10714
C3orf52	ENSG00000114529	79669
C3orf52	ENSG00000285394	79669
ATP11B	ENSG00000058063	23200
STAT1	ENSG00000115415	6772
CDH24	ENSG00000139880	64403
ANKRD13A	ENSG00000076513	88455
EXOSC8	ENSG00000120699	11340
DDX26B	NA	NA
SH3RF1	ENSG00000154447	57630
GDNF-AS1	ENSG00000248587	NA
TNNT1	ENSG00000105048	7138
KRTAP1-1	ENSG00000188581	81851
KRTAP1-1	ENSG00000262808	81851
ARL2	ENSG00000213465	402
RRM2	ENSG00000171848	6241
PLK2	ENSG00000145632	10769
PIDD1	ENSG00000177595	55367
PRKCQ-AS1	ENSG00000237943	439949
SLC17A9	ENSG00000101194	63910
SEC16B	ENSG00000120341	89866
MFAP5	ENSG00000197614	8076
NDN	ENSG00000182636	4692
NDN	ENSG00000288364	4692
FAHD2B	ENSG00000144199	151313
ERRFI1	ENSG00000116285	54206
CDK2	ENSG00000123374	1017
RNF141	ENSG00000110315	50862
ANXA3	ENSG00000138772	306
FAM57A	NA	NA
NCK2	ENSG00000071051	8440
CERS5	ENSG00000139624	91012
SGK223	NA	NA
PHYH	ENSG00000107537	5264
LINC00607	ENSG00000235770	646324
MOB3A	ENSG00000172081	126308
CDKN1C	ENSG00000129757	1028
CDKN1C	ENSG00000273707	1028
SORL1	ENSG00000137642	6653
PAMR1	ENSG00000149090	25891
SAMD12	ENSG00000177570	401474
DGCR6	ENSG00000183628	8214
C15orf59	NA	NA
BUD13	ENSG00000137656	84811
P2RX6	ENSG00000099957	9127
ATP2A3	ENSG00000074370	489
F8	ENSG00000185010	2157
RAPGEF6	ENSG00000158987	51735
BCL11B	ENSG00000127152	64919
CLIP2	ENSG00000106665	7461
ZNF267	ENSG00000185947	10308
ISLR	ENSG00000129009	3671
ISLR	ENSG00000288508	3671
FAM225B	ENSG00000225684	100128385
LMO7	ENSG00000136153	4008
CPA4	ENSG00000128510	51200
PPP2R2C	ENSG00000074211	5522
UTP20	ENSG00000120800	27340
CXCL6	ENSG00000124875	6372
LYPD6	ENSG00000187123	130574
SPATA13	ENSG00000182957	221178
ACVR2B	ENSG00000114739	93
MASTL	ENSG00000120539	84930
KLF11	ENSG00000172059	8462
EMB	ENSG00000170571	133418
MPZ	ENSG00000158887	4359
ACSF2	ENSG00000167107	80221
STC2	ENSG00000113739	8614
SLC13A4	ENSG00000164707	26266
GRK5	ENSG00000198873	2869
TSPAN10	ENSG00000182612	83882
SEMA4C	ENSG00000168758	54910
ADPRHL1	ENSG00000153531	113622
NGEF	ENSG00000066248	25791
POLR2L	ENSG00000177700	5441
PRDM16	ENSG00000142611	63976
SMC4	ENSG00000113810	10051
BACH1	ENSG00000156273	571
TIMP1	ENSG00000102265	7076
BOC	ENSG00000144857	91653
ETNK2	ENSG00000143845	55224
UBE2C	ENSG00000175063	11065
CCIN	ENSG00000185972	881
ARMCX3	ENSG00000102401	51566
BLCAP	ENSG00000166619	10904
SLC35D2	ENSG00000130958	11046
ZNF771	ENSG00000179965	51333
VAT1	ENSG00000108828	10493
IFITM2	ENSG00000185201	10581
ISOC1	ENSG00000066583	51015
HIBCH	ENSG00000198130	26275
S100A4	ENSG00000196154	6275
ADORA2B	ENSG00000170425	136
P4HA3	ENSG00000149380	283208
SCP2	ENSG00000116171	6342
C1GALT1	ENSG00000106392	56913
MYOF	ENSG00000138119	26509
CFAP46	ENSG00000171811	54777
HERC4	ENSG00000148634	26091
FSIP2	ENSG00000188738	401024
ITM2C	ENSG00000135916	81618
SKA3	ENSG00000165480	221150
KDM5D	ENSG00000012817	8284
VWA5A	ENSG00000110002	4013
ARSG	ENSG00000141337	22901
KSR1	ENSG00000141068	8844
TIAM2	ENSG00000146426	26230
NKX6-1	ENSG00000163623	4825
MAP1B	ENSG00000131711	4131
CSGALNACT1	ENSG00000147408	55790
RBBP8	ENSG00000101773	5932
STOML1	ENSG00000067221	9399
WNT9A	ENSG00000143816	7483
TDP1	ENSG00000042088	55775
PPAP2A	NA	NA
ATP8B1	ENSG00000081923	5205
HOXC9	ENSG00000180806	3225
CAMK1G	ENSG00000008118	57172
TBX5-AS1	ENSG00000255399	255480
USP9Y	ENSG00000114374	8287
SESN1	ENSG00000080546	27244
WNT5A	ENSG00000114251	7474
CLEC2B	ENSG00000110852	9976
INF2	ENSG00000203485	64423
COX7B	ENSG00000131174	1349
TICRR	ENSG00000140534	90381
ADGRA2	ENSG00000020181	25960
KIAA1456	NA	NA
TKT	ENSG00000163931	7086
PARP15	ENSG00000173200	165631
ALDH1A3	ENSG00000184254	220
ISM1	ENSG00000101230	140862
INHBE	ENSG00000139269	83729
DPT	ENSG00000143196	1805
CACNB4	ENSG00000182389	785
ISG20	ENSG00000172183	3669
EGFL7	ENSG00000172889	51162
LOC643201	NA	NA
KIF17	ENSG00000117245	57576
LINC01117	ENSG00000224577	102724224
EBF2	ENSG00000221818	64641
ITGA10	ENSG00000143127	8515
ATP2C1	ENSG00000017260	27032
SLIT2	ENSG00000145147	9353
LHX4	ENSG00000121454	89884
SGK1	ENSG00000118515	6446
TMEM104	ENSG00000109066	54868
APOA1BP	NA	NA
CPEB1	ENSG00000214575	64506
CPEB1	ENSG00000277445	64506
CDC42EP4	ENSG00000179604	23580
CYP7B1	ENSG00000172817	9420
ADAMTSL4	ENSG00000143382	54507
KRT7	ENSG00000135480	3855
DAAM2	ENSG00000146122	23500
ZEB1	ENSG00000148516	6935
SIK3	ENSG00000160584	23387
RILPL2	ENSG00000150977	196383
RAB31	ENSG00000168461	11031
LUCAT1	ENSG00000248323	NA
C1orf226	ENSG00000239887	400793
CCDC24	ENSG00000159214	149473
PLEKHF1	ENSG00000166289	79156
PODXL	ENSG00000128567	5420
SLC38A4	ENSG00000139209	55089
CCDC85A	ENSG00000055813	114800
MR1	ENSG00000153029	3140
AMIGO2	ENSG00000139211	347902
BTBD11	ENSG00000151136	121551
PODNL1	ENSG00000132000	79883
PODNL1	ENSG00000288195	79883
ZADH2	ENSG00000180011	284273
CHI3L1	ENSG00000133048	1116
ARHGAP11A	ENSG00000198826	9824
ARHGAP11A	ENSG00000275568	9824
ATP5J2	NA	NA
TRIM61	ENSG00000183439	391712
CNNM4	ENSG00000158158	26504
TINAGL1	ENSG00000142910	64129
TMEM50A	ENSG00000183726	23585
RAVER2	ENSG00000162437	55225
NUDT19	ENSG00000213965	390916
LINC01605	ENSG00000253161	NA
TMPO	ENSG00000120802	7112
STMN3	ENSG00000197457	50861
MID2	ENSG00000080561	11043
KIAA1551	NA	NA
FANCI	ENSG00000140525	55215
PTTG1IP	ENSG00000183255	754
GPR4	ENSG00000177464	2828
PFKFB2	ENSG00000123836	5208
EPB41L4A	ENSG00000129595	64097
ZNF556	ENSG00000172000	80032
LLGL2	ENSG00000073350	3993
PDLIM4	ENSG00000131435	8572
TAGLN2	ENSG00000158710	8407
PLXNA3	ENSG00000130827	55558
MPHOSPH6	ENSG00000135698	10200
H19	ENSG00000130600	283120
H19	ENSG00000288237	283120
B3GLCT	ENSG00000187676	145173
ATXN7L2	ENSG00000162650	127002
HAUS5	ENSG00000249115	23354
CBLB	ENSG00000114423	868
SMAP2	ENSG00000084070	64744
DDIT3	ENSG00000175197	1649
ZNF154	ENSG00000179909	7710
ARID5B	ENSG00000150347	84159
PTMS	ENSG00000159335	5763
IPW	NA	NA
PROB1	ENSG00000228672	389333
FAM131B	ENSG00000159784	9715
STAT4	ENSG00000138378	6775
TBX5	ENSG00000089225	6910
RFC3	ENSG00000133119	5983
ABL1	ENSG00000097007	25
RPS6KA5	ENSG00000100784	9252
COL4A5	ENSG00000188153	1287
FLCN	ENSG00000154803	201163
ZBED5-AS1	ENSG00000247271	729013
AKR1C2	ENSG00000151632	1646
CDT1	ENSG00000167513	81620
CPNE2	ENSG00000140848	221184
PCDH19	ENSG00000165194	57526
GPR65	ENSG00000140030	8477
BMS1P21	ENSG00000283101	NA
HABP4	ENSG00000130956	22927
SIPA1L2	ENSG00000116991	57568
IL1RL1	ENSG00000115602	9173
IFI27	ENSG00000165949	3429
IFI27	ENSG00000275214	3429
FIG4	ENSG00000112367	9896
KIF15	ENSG00000163808	56992
KIF15	ENSG00000280610	56992
DFNA5	NA	NA
ADGRL1	ENSG00000072071	22859
ADGRL1	ENSG00000288324	22859
ABI3BP	ENSG00000154175	25890
BATF3	ENSG00000123685	55509
DDX11L2	ENSG00000236397	NA
OMA1	ENSG00000162600	115209
GRIP1	ENSG00000155974	23426
CA13	ENSG00000185015	377677
CCDC102A	ENSG00000135736	92922
CORO1B	ENSG00000172725	57175
ALX1	ENSG00000180318	8092
CCDC136	ENSG00000128596	64753
LRRC3	ENSG00000160233	81543
RUNX1	ENSG00000159216	861
MAPKAPK3	ENSG00000114738	7867
DNAJB5	ENSG00000137094	25822
ZNF135	ENSG00000176293	7694
RUNDC1	ENSG00000198863	146923
SLC25A20	ENSG00000178537	788
EPS8L2	ENSG00000177106	64787
HADH	ENSG00000138796	3033
WDR66	NA	NA
VASH1	ENSG00000071246	22846
KRT34	ENSG00000131737	3885
KRT34	ENSG00000262045	3885
PRNP	ENSG00000171867	5621
PCGF5	ENSG00000180628	84333
ADGRB2	ENSG00000121753	576
CTC1	ENSG00000178971	80169
DBF4	ENSG00000006634	10926
COX6C	ENSG00000164919	1345
KCTD1	ENSG00000134504	284252
LIN9	ENSG00000183814	286826
GPR155	ENSG00000163328	151556
ELFN1	ENSG00000225968	392617
TOR4A	ENSG00000198113	54863
SCRN1	ENSG00000136193	9805
FANCG	ENSG00000221829	2189
BST1	ENSG00000109743	683
LIMD2	ENSG00000136490	80774
TCF4	ENSG00000196628	6925
LRRC45	ENSG00000169683	201255
HMGB3	ENSG00000029993	3149
RAD54L	ENSG00000085999	8438
KDM7A	ENSG00000006459	80853
